title,content,dish_name,image,restaurant_name,address,
烤鱼真香,麻辣鲜香，回味无穷,香辣烤鱼,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722384.jpg,学一食堂,二层西侧,
好吃好吃,清香软糯，营养丰富,珍珠丸子,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722387.jpg,学一食堂,二层北侧,
安利,肥而不腻，香而不柴,盐菜回祸肉,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722389.jpg,学一食堂,二层西侧,
好辣,香辣可口，开胃过瘾,小米辣炒鸡胗,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722392.jpg,学一食堂,川味窗口,
好恰,鲜嫩多汁，微辣回甜,纽奥烤鸡腿,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722395.jpg,学二食堂,特色菜窗口,
香脆,孜香微辣，外焦里嫩,孜然烤鸭腿,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722396.jpg,学二食堂,特色菜窗口,
首选,低脂健康，营养均衡,秘制鸡胸肉能量饭,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722398.jpg,学三食堂,披萨窗口,
经常吃,麻辣鲜香，口味独特,藤椒鸡煲,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722400.jpg,学三食堂,藤椒鸡煲窗口,
好吃好吃,香气四溢，油而不腻,过油肉拌面,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722402.jpg,学三食堂,不止一面窗口,
香辣爽口,营养丰富，色味俱佳,韩式经典肥牛拌饭,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722404.jpg,学三食堂 ,石锅饭窗口,
清淡好吃,汤味浓郁，齿过留香,番茄牛腩煲,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722406.jpg,学四食堂,鱼米之乡窗口,
脆香可口,微辣孜然，回味酸甜,鸡架骨拌面,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722408.jpg,学四食堂 ,重庆小面窗口,
鲜鲜鲜,咸鲜可口，蒜香入味,蒜蓉虾,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722411.jpg,学四食堂,营养套餐窗口,
常吃,麻辣鲜香，香辣入味,冒烤鸭,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722416.jpg,学四食堂,老北京烤鸭窗口,
性价比高,清淡鲜香，味美可口,金汤豆花鱼,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722417.jpg,学四食堂,鸡腿饭窗口,
适合中午吃,咸鲜可口，唇齿留香,美味双拼饭,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722420.jpg,学四食堂,食过飘香窗口,
